half,minutes,seconds,universal,uconn,duke,diff,individual_points,player,team
1,20,00,1,0,0,0,0,,
1,19,59,2,0,0,0,0,,
1,19,58,3,0,0,0,0,,
1,19,57,4,0,0,0,0,,
1,19,56,5,0,0,0,0,,
1,19,55,6,0,0,0,0,,
1,19,54,7,0,0,0,0,,
1,19,53,8,0,0,0,0,,
1,19,52,9,0,0,0,0,,
1,19,51,10,0,0,0,0,,
1,19,50,11,0,0,0,0,,
1,19,49,12,0,0,0,0,,
1,19,48,13,0,0,0,0,,
1,19,47,14,0,0,0,0,,
1,19,46,15,0,0,0,0,,
1,19,45,16,0,0,0,0,,
1,19,44,17,0,0,0,0,,
1,19,43,18,0,0,0,0,,
1,19,42,19,0,0,0,0,,
1,19,41,20,0,0,0,0,,
1,19,40,21,0,0,0,0,,
1,19,39,22,2,0,-2,2,Tarris Reed Jr,Uconn
1,19,38,23,2,0,-2,0,,
1,19,37,24,2,0,-2,0,,
1,19,36,25,2,0,-2,0,,
1,19,35,26,2,0,-2,0,,
1,19,34,27,2,0,-2,0,,
1,19,33,28,2,0,-2,0,,
1,19,32,29,2,0,-2,0,,
1,19,31,30,2,0,-2,0,,
1,19,30,31,2,0,-2,0,,
1,19,29,32,2,0,-2,0,,
1,19,28,33,2,0,-2,0,,
1,19,27,34,2,0,-2,0,,
1,19,26,35,2,0,-2,0,,
1,19,25,36,2,0,-2,0,,
1,19,24,37,2,0,-2,0,,
1,19,23,38,2,0,-2,0,,
1,19,22,39,2,0,-2,0,,
1,19,21,40,2,0,-2,0,,
1,19,20,41,2,0,-2,0,,
1,19,19,42,2,0,-2,0,,
1,19,18,43,2,0,-2,0,,
1,19,17,44,2,0,-2,0,,
1,19,16,45,2,0,-2,0,,
1,19,15,46,2,0,-2,0,,
1,19,14,47,2,0,-2,0,,
1,19,13,48,2,0,-2,0,,
1,19,12,49,2,0,-2,0,,
1,19,11,50,2,0,-2,0,,
1,19,10,51,2,0,-2,0,,
